"gene","has_TES_peak","has_TEAD1_peak","has_DMR","TES_peak_count","TEAD1_peak_count","DMR_count","category"
"RPE65",TRUE,TRUE,TRUE,1,1,2,"TES + TEAD1 + DMR"
"DEPDC1",TRUE,FALSE,FALSE,2,0,0,"TES only"
"LOC105378787",TRUE,TRUE,TRUE,3,1,1,"TES + TEAD1 + DMR"
"LINC01707",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC02791",TRUE,FALSE,FALSE,4,0,0,"TES only"
"LINC01758",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"LRRC7",TRUE,FALSE,FALSE,1,0,0,"TES only"
"ZRANB2-DT",TRUE,FALSE,FALSE,1,0,0,"TES only"
"FPGT-TNNI3K",TRUE,FALSE,FALSE,1,0,0,"TES only"
"TNNI3K",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"ERICH3",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"CRYZ",TRUE,FALSE,FALSE,1,0,0,"TES only"
"TYW3",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LHX8",TRUE,TRUE,FALSE,4,1,0,"TEAD1 only"
"ST6GALNAC5",TRUE,FALSE,FALSE,1,0,0,"TES only"
"AK5",TRUE,TRUE,TRUE,6,6,2,"TES + TEAD1 + DMR"
"LOC124904202",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"ZZZ3",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"MIGA1",TRUE,TRUE,TRUE,1,1,3,"TES + TEAD1 + DMR"
"IFI44L",TRUE,FALSE,FALSE,1,0,0,"TES only"
"ADGRL4",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LOC105378811",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"LOC124904204",TRUE,FALSE,TRUE,2,0,1,"TES + DMR"
"LINC01361",TRUE,FALSE,FALSE,1,0,0,"TES only"
"TTLL7",TRUE,FALSE,FALSE,4,0,0,"TES only"
"PRKACB",TRUE,FALSE,TRUE,4,0,1,"TES + DMR"
"LOC124904808",TRUE,FALSE,FALSE,1,0,0,"TES only"
"SAMD13",TRUE,FALSE,TRUE,3,0,1,"TES + DMR"
"UOX",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"LINC01461",TRUE,FALSE,FALSE,2,0,0,"TES only"
"SSX2IP",TRUE,TRUE,FALSE,4,1,0,"TEAD1 only"
"LPAR3",TRUE,FALSE,TRUE,5,0,2,"TES + DMR"
"C1orf52",TRUE,FALSE,FALSE,1,0,0,"TES only"
"BCL10-AS1",TRUE,TRUE,FALSE,5,3,0,"TEAD1 only"
"DDAH1",TRUE,TRUE,TRUE,9,7,1,"TES + TEAD1 + DMR"
"LOC124904208",TRUE,TRUE,FALSE,2,2,0,"TEAD1 only"
"CCN1",TRUE,TRUE,FALSE,1,4,0,"TEAD1 only"
"LOC124900422",TRUE,TRUE,TRUE,4,6,1,"TES + TEAD1 + DMR"
"ZNHIT6",TRUE,FALSE,FALSE,2,0,0,"TES only"
"COL24A1",TRUE,TRUE,TRUE,4,2,1,"TES + TEAD1 + DMR"
"ODF2L",TRUE,FALSE,FALSE,1,0,0,"TES only"
"CLCA2",TRUE,FALSE,FALSE,1,0,0,"TES only"
"SH3GLB1",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LOC105378831",TRUE,FALSE,TRUE,1,0,4,"TES + DMR"
"LINC01140",TRUE,TRUE,TRUE,3,1,1,"TES + TEAD1 + DMR"
"LINC02801",TRUE,TRUE,FALSE,2,2,0,"TEAD1 only"
"LINC01364",TRUE,TRUE,TRUE,6,1,2,"TES + TEAD1 + DMR"
"LINC01773",TRUE,FALSE,TRUE,9,0,3,"TES + DMR"
"KYAT3",TRUE,FALSE,TRUE,1,0,2,"TES + DMR"
"GBP5",TRUE,TRUE,FALSE,5,1,0,"TEAD1 only"
"LOC729930",TRUE,FALSE,FALSE,2,0,0,"TES only"
"LRRC8B",TRUE,TRUE,FALSE,4,1,0,"TEAD1 only"
"LOC128092251",TRUE,FALSE,FALSE,6,0,0,"TES only"
"LRRC8C",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"LOC101927975",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LRRC8D-DT",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"LRRC8D",TRUE,TRUE,TRUE,3,2,1,"TES + TEAD1 + DMR"
"GEMIN8P4",TRUE,TRUE,TRUE,2,2,2,"TES + TEAD1 + DMR"
"LOC105378849",TRUE,TRUE,TRUE,4,1,2,"TES + TEAD1 + DMR"
"LOC105378850",TRUE,TRUE,TRUE,3,3,1,"TES + TEAD1 + DMR"
"EPHX4",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"GFI1",TRUE,FALSE,TRUE,2,0,2,"TES + DMR"
"EVI5",TRUE,TRUE,TRUE,1,1,5,"TES + TEAD1 + DMR"
"DIPK1A",TRUE,TRUE,TRUE,3,2,1,"TES + TEAD1 + DMR"
"LOC124904219",TRUE,FALSE,FALSE,2,0,0,"TES only"
"MTF2",TRUE,FALSE,FALSE,1,0,0,"TES only"
"CCDC18",TRUE,TRUE,TRUE,1,1,2,"TES + TEAD1 + DMR"
"FNBP1L",TRUE,FALSE,TRUE,2,0,1,"TES + DMR"
"BCAR3",TRUE,TRUE,TRUE,12,11,6,"TES + TEAD1 + DMR"
"ABCA4",TRUE,TRUE,TRUE,2,2,6,"TES + TEAD1 + DMR"
"LOC105378858",TRUE,FALSE,TRUE,2,0,1,"TES + DMR"
"ARHGAP29-AS1",TRUE,TRUE,TRUE,5,3,1,"TES + TEAD1 + DMR"
"ARHGAP29",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"ABCD3",TRUE,FALSE,TRUE,3,0,1,"TES + DMR"
"LOC124904223",TRUE,TRUE,FALSE,2,1,0,"TEAD1 only"
"SLC44A3-AS1",TRUE,TRUE,TRUE,4,8,2,"TES + TEAD1 + DMR"
"MIR378G",TRUE,FALSE,TRUE,1,0,2,"TES + DMR"
"SLC44A3",TRUE,TRUE,FALSE,3,1,0,"TEAD1 only"
"CNN3",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"CNN3-DT",TRUE,TRUE,FALSE,1,2,0,"TEAD1 only"
"ALG14",TRUE,TRUE,TRUE,3,3,1,"TES + TEAD1 + DMR"
"TLCD4",TRUE,FALSE,FALSE,1,0,0,"TES only"
"RWDD3",TRUE,FALSE,TRUE,1,0,3,"TES + DMR"
"RWDD3-DT",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC01787",TRUE,TRUE,TRUE,5,3,1,"TES + TEAD1 + DMR"
"PTBP2",TRUE,TRUE,TRUE,5,2,3,"TES + TEAD1 + DMR"
"DPYD-AS1",TRUE,TRUE,TRUE,10,5,2,"TES + TEAD1 + DMR"
"DPYD",TRUE,TRUE,TRUE,5,1,1,"TES + TEAD1 + DMR"
"DPYD-AS2",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LOC124904227",TRUE,FALSE,FALSE,1,0,0,"TES only"
"MIR137HG",TRUE,TRUE,TRUE,4,1,2,"TES + TEAD1 + DMR"
"LINC01776",TRUE,TRUE,TRUE,3,3,3,"TES + TEAD1 + DMR"
"SNX7",TRUE,TRUE,TRUE,6,1,1,"TES + TEAD1 + DMR"
"PLPPR5",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC01708",TRUE,TRUE,TRUE,5,3,1,"TES + TEAD1 + DMR"
"PALMD",TRUE,FALSE,TRUE,4,0,1,"TES + DMR"
"FRRS1",TRUE,FALSE,FALSE,1,0,0,"TES only"
"AGL",TRUE,FALSE,FALSE,2,0,0,"TES only"
"SLC35A3",TRUE,FALSE,TRUE,2,0,2,"TES + DMR"
"MFSD14A",TRUE,FALSE,FALSE,2,0,0,"TES only"
"LRRC39",TRUE,FALSE,FALSE,1,0,0,"TES only"
"LINC01349",TRUE,TRUE,FALSE,1,1,0,"TEAD1 only"
"VCAM1",TRUE,TRUE,FALSE,4,2,0,"TEAD1 only"
"EXTL2",TRUE,FALSE,FALSE,2,0,0,"TES only"
"SLC30A7",TRUE,FALSE,TRUE,1,0,3,"TES + DMR"
"LOC101928334",TRUE,TRUE,TRUE,3,1,1,"TES + TEAD1 + DMR"
"S1PR1",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"LINC01307",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
"LINC01709",TRUE,TRUE,FALSE,3,2,0,"TEAD1 only"
"OLFM3",TRUE,FALSE,FALSE,5,0,0,"TES only"
"COL11A1",TRUE,TRUE,TRUE,5,6,1,"TES + TEAD1 + DMR"
"RNPC3-DT",TRUE,FALSE,FALSE,3,0,0,"TES only"
"LINC01661",TRUE,TRUE,TRUE,4,1,2,"TES + TEAD1 + DMR"
"VAV3",TRUE,TRUE,TRUE,1,1,1,"TES + TEAD1 + DMR"
"NBPF6",TRUE,FALSE,FALSE,2,0,0,"TES only"
"FNDC7",TRUE,FALSE,FALSE,1,0,0,"TES only"
"MYBPHL",TRUE,FALSE,TRUE,1,0,1,"TES + DMR"
