"gene_name","n_total_peaks","n_promoter_peaks","n_enhancer_peaks","categories","log2FoldChange","padj","is_DEG"
"ANGPTL2",2,0,2,"Shared_equivalent;TES_unique",0.334847137918807,0.459160833079102,FALSE
"ANGPTL4",1,1,0,"TEAD1_unique",0.0961062686657127,0.848917740597167,FALSE
"ANGPTL7",1,0,1,"Shared_TEAD1_dominant",0.320059879595376,0.406811455527547,FALSE
"ANK1",2,0,2,"Shared_high;TEAD1_unique",-0.555838121693283,0.0161747204174152,TRUE
"ANK2",3,2,1,"Shared_TES_dominant;TEAD1_unique;TES_unique",-1.63285693325056,6.75375692823234e-26,TRUE
"ANK3",4,2,2,"Shared_TEAD1_dominant;Shared_TES_dominant;TEAD1_unique;TES_unique",-1.03637749857063,6.82565723359277e-11,TRUE
"ANKAR",1,0,1,"TES_unique",-0.783988845231134,0.000124650818411931,TRUE
"ANKDD1B",2,0,2,"Shared_equivalent;TES_unique",0.542607019861162,0.0756433228458712,FALSE
"ANKFN1",1,0,1,"TEAD1_unique",1.71090295567616,0.0033652022693938,TRUE
"ANKFY1",1,0,1,"TEAD1_unique",-0.229944251655419,0.0851243705576599,FALSE
"ANKH",1,0,1,"TEAD1_unique",0.665045498495415,1.49103577651602e-06,TRUE
