"TF","n_targets_total","n_targets_in_DEGs","p_value_all","odds_ratio_all","n_targets_up","p_value_up","n_targets_down","p_value_down","TF_log2FC","TF_padj","padj_all","padj_up","padj_down","is_significant","direction_bias","primary_category","is_direct_target","is_TES_TEAD1_target"
"ZNF774",28,12,0.0896403187281999,1.90562350806798,7,0.119207873133853,5,0.392355242933504,0.572060254229643,0.00028696866222033,0.108555248368095,0.162221023233697,0.452858753844138,FALSE,"None","TEAD1_unique",TRUE,TRUE
"ZNF704",71,31,0.107433507684735,1.3887598146375,20,0.0273816902029544,11,0.725083002204037,-0.974263550918175,6.45796064899844e-05,0.128920209221682,0.0440778427657315,0.77186255073333,FALSE,"Up","TEAD1_unique",TRUE,TRUE
"ZNF354A",32,11,0.135650225608451,1.74654481007767,4,0.605304838405361,7,0.0818390628025566,0.776924429553724,0.0051628266528985,0.161313781804644,0.688795160944031,0.110232207040178,FALSE,"None","Unbound",FALSE,FALSE
"NR4A2",5,3,0.140403281180685,5.23873942033435,1,0.560663555595462,2,0.148442409124745,-0.726685523324275,0.00303738170299472,0.165475295677236,0.643544255118269,0.19023687382977,FALSE,"None","TES_unique",TRUE,TRUE
"FOXQ1",39,16,0.202481333863137,1.39725129928235,11,0.0573344090275955,5,0.794374930530651,2.19760172489333,1.20365597675185e-13,0.236526867875523,0.0835519718091449,0.832202308174968,FALSE,"None","TEAD1_unique",TRUE,TRUE
"NR5A1",19,7,0.215573462746241,1.74630328660168,6,0.0315485296838915,1,0.936081979253879,3.24920132851811,0.00451441161430731,0.2496113779167,0.0489930108032198,0.972935600484347,FALSE,"Up","Unbound",FALSE,FALSE
"FOXF2",13,4,0.22381845932863,2.32838949138921,2,0.384041578351522,2,0.362943907407339,-0.721500608929209,0.0195241218683218,0.254689970960166,0.465077874700926,0.423969874139546,FALSE,"None","Unbound",FALSE,FALSE
"ZNF837",9,4,0.22381845932863,2.32838949138921,1,0.762936603561264,3,0.112815635145154,0.671654163684872,0.0415237871323788,0.254689970960166,0.818761233090137,0.148916638391603,FALSE,"None","Unbound",FALSE,FALSE
"ZNF138",5,2,0.301256337325373,3.49226591754126,2,0.0907749314716321,0,1,0.782263175243703,4.81700254422991e-06,0.33987894467478,0.12747118036442,1,FALSE,"None","Unbound",FALSE,FALSE
"ZNF136",15,4,0.324434648897321,1.74612224658959,1,0.807004246496329,3,0.15741169205006,0.438153125586389,0.00958973628405097,0.359877089533163,0.859069036592867,0.199791762986615,FALSE,"None","TES_unique",TRUE,TRUE
"ZNF491",9,4,0.324434648897321,1.74612224658959,2,0.454463103015811,2,0.431454645859764,0.621921894674172,0.0102175423664167,0.359877089533163,0.535617228554348,0.490965631495594,FALSE,"None","TES_unique",TRUE,TRUE
"ZNF626",11,5,0.369233813110942,1.45510882204678,1,0.895869012902436,4,0.116498349967206,3.03744712657684,3.83213836293057e-15,0.406157194422036,0.938529442088266,0.150762570545796,FALSE,"None","Unbound",FALSE,FALSE
"ZNF112",7,2,0.46210939347006,1.74600160206732,1,0.560663555595462,1,0.544167768026956,0.468293008426758,0.034664311113505,0.504119338330975,0.643544255118269,0.608730045589476,FALSE,"None","Unbound",FALSE,FALSE
"FOXF1",9,2,0.598480555111825,1.16401223506087,1,0.642324460480806,1,0.625459012552357,-1.48042557740564,0.0453690654280987,0.637092203828716,0.700717593251789,0.67672614472878,FALSE,"None","Unbound",FALSE,FALSE
"NEUROD2",7,2,0.598480555111825,1.16401223506087,0,1,2,0.219002789925351,2.61886156738471,4.87170571627252e-08,0.637092203828716,1,0.272720455378739,FALSE,"None","Unbound",FALSE,FALSE
"ZNF493",8,2,0.598480555111825,1.16401223506087,1,0.642324460480806,1,0.625459012552357,-0.363292039536699,0.0266858707210846,0.637092203828716,0.700717593251789,0.67672614472878,FALSE,"None","TES_unique",TRUE,TRUE
"MSX2",20,6,0.74621886722868,0.805730669633007,2,0.89274460976591,4,0.447139893172737,3.00546739954808,6.18683640564725e-42,0.788007123793486,0.938529442088266,0.504465520502575,FALSE,"None","Unbound",FALSE,FALSE
"NR2E3",10,3,0.767953542795364,0.748230129770056,0,1,3,0.257895225769827,2.20296054859529,2.77355677997155e-07,0.804522759118953,1,0.312313484418506,FALSE,"None","Unbound",FALSE,FALSE
"HOXA13",56,15,0.784588743929603,0.818250933686276,11,0.246924397706811,4,0.977743509648802,2.40014719274614,4.24725091159122e-23,0.815478064556753,0.319549220561756,1,FALSE,"None","Unbound",FALSE,FALSE
"SOX15",6,1,0.836570557185873,0.581974540234502,1,0.560663555595462,0,1,0.860932306649918,0.00690752217734568,0.862713387097932,0.643544255118269,1,FALSE,"None","Unbound",FALSE,FALSE
"TFDP2",5,1,0.896093057704386,0.436463952772916,0,1,1,0.625459012552357,-0.397948309537509,0.00489000905241933,0.916932431139371,1,0.67672614472878,FALSE,"None","TEAD1_unique",TRUE,TRUE
"LHX4",8,1,0.933938032417949,0.349157180089496,0,1,1,0.692255077710628,-1.0128708649765,6.60263973353082e-06,0.948306309839763,1,0.742907888274821,FALSE,"None","Unbound",FALSE,FALSE
"CREBL2",10,1,0.973298023703579,0.249375650737604,0,1,1,0.792238219461379,-4.37793061996222,4.27955794084951e-91,0.980727779609713,1,0.832202308174968,FALSE,"None","TEAD1_unique",TRUE,TRUE
"RARB",7,0,1,0,0,1,0,1,-3.21209099783835,1.33757706879539e-122,1,1,1,FALSE,"None","TES_unique",TRUE,TRUE
